"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","90","97","-16","3","""298134866""","0","56455","41388.467065868266","18507.723531472257","56455"
"1","2","500","90","97","-16","3","""893961689""","0","56398","41360.01397205589","18456.642911802894","56398"
"1","3","500","90","97","-16","3","""948030107""","0","56441","41349.021956087825","18533.073578268537","56441"
"1","4","500","90","97","-16","3","""-2121552852""","0","56497","41424.01397205589","18502.129763835303","56497"
"1","5","500","90","97","-16","3","""1184547538""","0","56268","41188.87624750499","18494.93706484718","56268"
"1","6","500","90","97","-16","3","""2056939663""","0","56475","41367.886227544914","18505.74054970595","56475"
"1","7","500","90","97","-16","3","""-361571825""","0","56408","41317.25948103792","18504.00475574235","56408"
"1","8","500","90","97","-16","3","""1818962367""","0","56501","41333.22155688623","18572.650854436826","56501"
"1","9","500","90","97","-16","3","""1576520517""","0","56411","41353.972055888225","18483.393135006856","56411"
"1","10","500","90","97","-16","3","""-1554707380""","0","56385","41328.84630738523","18485.709118839026","56385"
"1","11","500","70","41","4","-22","""-1593259412""","0","62","61.800399201596804","3.0192846570535674","62"
"1","12","500","70","41","4","-22","""-1224017275""","0","64","63.706586826347305","3.4709849505501875","64"
"1","13","500","70","41","4","-22","""-342300162""","0","90","89.57684630738522","5.0978998454590805","90"
"1","14","500","70","41","4","-22","""1930472529""","0","63","62.706586826347305","3.502532873071413","63"
"1","15","500","70","41","4","-22","""1707539774""","0","93","92.54690618762476","5.2199899817128275","93"
"1","16","500","70","41","4","-22","""-1630460715""","0","93","92.44910179640719","5.286956042149027","93"
"1","17","500","70","41","4","-22","""2040263697""","0","91","90.54491017964072","5.0032468499880745","91"
"1","18","500","70","41","4","-22","""2045058769""","0","57","56.79241516966068","2.921784104838979","57"
"1","19","500","70","41","4","-22","""1977525360""","0","68","67.69061876247505","3.575205143256488","68"
"1","20","500","70","41","4","-22","""-320152238""","0","54","53.78243512974052","2.7710234315652285","54"
"1","21","500","98","88","-10","-17","""-1307838053""","0","61528","42763.40119760479","20536.52805409706","61528"
"1","22","500","98","88","-10","-17","""793036457""","0","61477","42536.17564870259","20554.559274892803","61477"
"1","23","500","98","88","-10","-17","""513960028""","0","61544","42612.211576846305","20585.141088735403","61544"
"1","24","500","98","88","-10","-17","""-2014727293""","0","61488","42613.16966067864","20551.338260394565","61488"
"1","25","500","98","88","-10","-17","""-1754250864""","0","61377","42434.14371257485","20525.889154122127","61377"
"1","26","500","98","88","-10","-17","""-1679770379""","0","61518","42586.66467065868","20550.014707228962","61518"
"1","27","500","98","88","-10","-17","""-1840720015""","0","61481","42579.92614770459","20545.582691676962","61481"
"1","28","500","98","88","-10","-17","""-1758834648""","0","61505","42636.343313373254","20564.61263379151","61505"
"1","29","500","98","88","-10","-17","""-863297203""","0","61474","42553.64471057884","20551.479855074078","61474"
"1","30","500","98","88","-10","-17","""176400612""","0","61427","42522.27345309381","20512.007836461828","61427"
"1","31","500","55","55","-1","-13","""-1435972444""","0","121","120.54091816367266","6.146936013599654","121"
"1","32","500","55","55","-1","-13","""344095330""","0","110","109.57085828343314","5.553509616618614","110"
"1","33","500","55","55","-1","-13","""842095169""","0","113","112.58483033932136","5.685005665886099","113"
"1","34","500","55","55","-1","-13","""-382192384""","0","127","126.53692614770459","6.396337524907026","127"
"1","35","500","55","55","-1","-13","""-1455483849""","0","143","142.20159680638722","8.048184729807641","143"
"1","36","500","55","55","-1","-13","""612627560""","0","132","131.4011976047904","7.295801433898494","132"
"1","37","500","55","55","-1","-13","""893983640""","0","169","168.2574850299401","9.153336487984735","169"
"1","38","500","55","55","-1","-13","""-859008090""","0","156","155.28942115768464","8.500239282765676","156"
"1","39","500","55","55","-1","-13","""1355488377""","0","150","149.313373253493","8.238422227490318","150"
"1","40","500","55","55","-1","-13","""-1587997154""","0","162","161.11776447105788","9.263266367346723","162"
"1","41","500","15","67","-22","-13","""-2034801959""","0","39","38.902195608782435","1.7878521106793914","39"
"1","42","500","15","67","-22","-13","""-1118533283""","0","27","26.940119760479043","1.2134278658530788","27"
"1","43","500","15","67","-22","-13","""-1081269952""","0","18","17.960079840319363","0.8089519105687194","18"
"1","44","500","15","67","-22","-13","""-856390085""","0","18","17.954091816367267","0.8245533479120088","18"
"1","45","500","15","67","-22","-13","""-1624350323""","0","15","14.960079840319361","0.6945525132146461","15"
"1","46","500","15","67","-22","-13","""1877722461""","0","26","25.93812375249501","1.1824397120592223","26"
"1","47","500","15","67","-22","-13","""1647273323""","0","27","26.926147704590818","1.2427931968512198","27"
"1","48","500","15","67","-22","-13","""-1705562639""","0","31","30.924151696606785","1.4192376576677","31"
"1","49","500","15","67","-22","-13","""-1141169607""","0","26","25.944111776447105","1.1648477409005245","26"
"1","50","500","15","67","-22","-13","""323485083""","0","25","24.940119760479043","1.131550787913984","25"
"1","51","500","83","16","-12","-1","""-1827028145""","0","54","53.846307385229544","2.537386714185527","54"
"1","52","500","83","16","-12","-1","""1125309150""","0","46","45.874251497005986","2.118054694436062","46"
"1","53","500","83","16","-12","-1","""1283238366""","0","41","40.89421157684631","1.8864746028360997","41"
"1","54","500","83","16","-12","-1","""-209098675""","0","48","47.8502994011976","2.3254128472552367","48"
"1","55","500","83","16","-12","-1","""1836884634""","0","57","56.79840319361278","2.805223243364022","57"
"1","56","500","83","16","-12","-1","""-1988843702""","0","42","41.868263473053894","2.03632285712335","42"
"1","57","500","83","16","-12","-1","""-1253962419""","0","46","45.86027944111776","2.205547351964237","46"
"1","58","500","83","16","-12","-1","""1214380385""","0","64","63.8063872255489","3.095228444195401","64"
"1","59","500","83","16","-12","-1","""-185635071""","0","64","63.796407185628745","3.1161622335604706","64"
"1","60","500","83","16","-12","-1","""1216504091""","0","34","33.920159680638726","1.5419509636986275","34"
"1","61","500","44","5","-2","20","""1661345719""","0","28","27.940119760479043","1.2539566123390227","28"
"1","62","500","44","5","-2","20","""-2116288781""","0","32","31.926147704590818","1.4465596877211075","32"
"1","63","500","44","5","-2","20","""-1077047005""","0","38","37.91217564870259","1.718217523215812","38"
"1","64","500","44","5","-2","20","""517813889""","0","32","31.932135728542914","1.4322657677752928","32"
"1","65","500","44","5","-2","20","""-1428085460""","0","29","28.932135728542914","1.3081992315931337","29"
"1","66","500","44","5","-2","20","""449087550""","0","37","36.91816367265469","1.6623144772147094","37"
"1","67","500","44","5","-2","20","""1102455386""","0","24","23.94810379241517","1.0757794370620544","24"
"1","68","500","44","5","-2","20","""-407127161""","0","20","19.954091816367267","0.9032653118286467","20"
"1","69","500","44","5","-2","20","""901117472""","0","33","32.92614770459082","1.484767635066103","33"
"1","70","500","44","5","-2","20","""-1796498645""","0","30","29.934131736526947","1.346719233771743","30"
"1","71","500","69","40","-13","-16","""29580607""","0","111","110.50499001996008","5.926084293182183","111"
"1","72","500","69","40","-13","-16","""1423822842""","0","72","71.77844311377245","3.4878093943415522","72"
"1","73","500","69","40","-13","-16","""1290066837""","0","68","67.75249500998004","3.398031601158993","68"
"1","74","500","69","40","-13","-16","""-1705301561""","0","92","91.44910179640719","5.303197544087539","92"
"1","75","500","69","40","-13","-16","""-2077392670""","0","96","95.61676646706587","5.14983866964321","96"
"1","76","500","69","40","-13","-16","""994732980""","0","105","104.52694610778443","5.783923621131987","105"
"1","77","500","69","40","-13","-16","""68664337""","0","90","89.59281437125749","4.775130182882193","90"
"1","78","500","69","40","-13","-16","""-279581790""","0","64","63.76646706586826","3.229760562861109","64"
"1","79","500","69","40","-13","-16","""-2029929950""","0","95","94.65469061876247","4.791922678225432","95"
"1","80","500","69","40","-13","-16","""-705856314""","0","96","95.6506986027944","4.88177677807766","96"
"1","81","500","27","45","24","-24","""1483033900""","0","23","22.940119760479043","1.062265120216586","23"
"1","82","500","27","45","24","-24","""1930757963""","0","24","23.93812375249501","1.1163170126154562","24"
"1","83","500","27","45","24","-24","""259243567""","0","18","17.954091816367267","0.8245533479120088","18"
"1","84","500","27","45","24","-24","""-1534020242""","0","23","22.93812375249501","1.064971207429899","23"
"1","85","500","27","45","24","-24","""1366276348""","0","22","21.940119760479043","1.0219624188925724","22"
"1","86","500","27","45","24","-24","""-268764997""","0","18","17.954091816367267","0.834199151014254","18"
"1","87","500","27","45","24","-24","""-276953708""","0","23","22.932135728542914","1.1060674615686266","23"
"1","88","500","27","45","24","-24","""65723014""","0","15","14.964071856287426","0.683159269004195","15"
"1","89","500","27","45","24","-24","""-217400500""","0","18","17.944111776447105","0.8836686366965028","18"
"1","90","500","27","45","24","-24","""878126263""","0","11","10.950099800399201","0.6029137500670976","11"
"1","91","500","79","34","14","12","""940664498""","0","250","248.72654690618762","13.99739525241353","250"
"1","92","500","79","34","14","12","""2036563953""","0","204","203.0878243512974","11.076293218269543","204"
"1","93","500","79","34","14","12","""814717211""","0","272","269.90219560878245","17.857223053141972","272"
"1","94","500","79","34","14","12","""-57632383""","0","229","227.71057884231536","13.490072937693018","229"
"1","95","500","79","34","14","12","""-1395128102""","0","278","276.16566866267465","16.72215593163729","278"
"1","96","500","79","34","14","12","""-1248780176""","0","284","282.1996007984032","16.872583674124375","284"
"1","97","500","79","34","14","12","""1747444874""","0","334","331.36526946107784","21.705306065044198","334"
"1","98","500","79","34","14","12","""447209807""","0","283","281.27744510978044","17.314412212359226","283"
"1","99","500","79","34","14","12","""-1536561710""","0","214","212.8562874251497","12.319874406390142","214"
"1","100","500","79","34","14","12","""-1573234052""","0","332","329.69660678642714","20.956425469604177","332"
"1","101","500","67","64","1","-9","""-758992777""","0","380","377.05988023952096","26.147282979032912","380"
"1","102","500","67","64","1","-9","""1552687557""","0","671","654.7964071856287","66.46937992087635","671"
"1","103","500","67","64","1","-9","""-1001987945""","0","480","475.0858283433134","35.84129767129646","480"
"1","104","500","67","64","1","-9","""-824133802""","0","388","385.373253493014","24.68421364341251","388"
"1","105","500","67","64","1","-9","""-790068394""","0","535","528.2594810379242","43.695955590078974","535"
"1","106","500","67","64","1","-9","""1984318348""","0","311","308.7764471057884","19.336440317486048","311"
"1","107","500","67","64","1","-9","""1562964626""","0","501","493.6167664670659","44.94157138244454","501"
"1","108","500","67","64","1","-9","""-1193408364""","0","387","384.00998003992015","25.653184991334093","387"
"1","109","500","67","64","1","-9","""955354174""","0","578","568.0339321357285","52.07714322337008","578"
"1","110","500","67","64","1","-9","""1539826395""","0","496","486.3812375249501","44.81879479934147","496"
"1","111","500","26","55","-6","-21","""-1433413602""","0","30","29.92814371257485","1.36631853800839","30"
"1","112","500","26","55","-6","-21","""2022529489""","0","32","31.91816367265469","1.465363238640035","32"
"1","113","500","26","55","-6","-21","""970869917""","0","29","28.924151696606785","1.3558154479655773","29"
"1","114","500","26","55","-6","-21","""904003529""","0","22","21.94810379241517","0.9986497870653191","22"
"1","115","500","26","55","-6","-21","""643340169""","0","28","27.91816367265469","1.3339000791505056","28"
"1","116","500","26","55","-6","-21","""-755779770""","0","24","23.932135728542914","1.132865936261156","24"
"1","117","500","26","55","-6","-21","""622182693""","0","41","40.89221556886228","1.9079725578312627","41"
"1","118","500","26","55","-6","-21","""1426486859""","0","37","36.89820359281437","1.7284723794342638","37"
"1","119","500","26","55","-6","-21","""-922918587""","0","27","26.936127744510976","1.2263409703865629","27"
"1","120","500","26","55","-6","-21","""-256193125""","0","28","27.93013972055888","1.2794959087230855","28"
"1","121","500","2","0","8","10","""1117017387""","0","3","2.9940119760479043","0.13403011548262875","3"
"1","122","500","2","0","8","10","""1274685651""","0","1","0.998003992015968","0.044676705160876524","1"
"1","123","500","2","0","8","10","""-916577267""","0","2","1.996007984031936","0.08935341032175305","2"
"1","124","500","2","0","8","10","""549657417""","0","0","0","0","0"
"1","125","500","2","0","8","10","""543050305""","0","3","2.9940119760479043","0.13403011548262875","3"
"1","126","500","2","0","8","10","""250193135""","0","0","0","0","0"
"1","127","500","2","0","8","10","""974173374""","0","1","0.998003992015968","0.044676705160876524","1"
"1","128","500","2","0","8","10","""432583108""","0","0","0","0","0"
"1","129","500","2","0","8","10","""1622420832""","0","0","0","0","0"
"1","130","500","2","0","8","10","""1793426723""","0","0","0","0","0"
"1","131","500","45","96","-8","-24","""1569193213""","0","179","178.05788423153692","10.198560815848882","179"
"1","132","500","45","96","-8","-24","""312351116""","0","183","182.14770459081836","9.926637886039783","183"
"1","133","500","45","96","-8","-24","""-1685416063""","0","212","210.686626746507","12.872124952718883","212"
"1","134","500","45","96","-8","-24","""-1963299852""","0","309","306.6007984031936","21.035026012850057","309"
"1","135","500","45","96","-8","-24","""568313096""","0","330","326.92415169660677","22.74849963247992","330"
"1","136","500","45","96","-8","-24","""-459459887""","0","177","176.0938123752495","9.917317260062276","177"
"1","137","500","45","96","-8","-24","""-1981473921""","0","214","212.6427145708583","12.820533991077482","214"
"1","138","500","45","96","-8","-24","""-947195950""","0","254","252.4191616766467","15.273112063224273","254"
"1","139","500","45","96","-8","-24","""724635612""","0","205","203.73652694610777","12.151808224037083","205"
"1","140","500","45","96","-8","-24","""-426204770""","0","245","243.3552894211577","14.658564628437212","245"
"1","141","500","10","96","23","21","""118257038""","0","31","30.92814371257485","1.402435862100433","31"
"1","142","500","10","96","23","21","""-931993440""","0","27","26.942115768463072","1.2093976660184356","27"
"1","143","500","10","96","23","21","""-856380784""","0","35","34.92215568862275","1.5696904611140836","35"
"1","144","500","10","96","23","21","""929865288""","0","26","25.94610778443114","1.1623638932620426","26"
"1","145","500","10","96","23","21","""-1636836094""","0","21","20.956087824351297","0.9391846805988","21"
"1","146","500","10","96","23","21","""-1131779334""","0","24","23.9500998003992","1.0730820052633172","24"
"1","147","500","10","96","23","21","""-751705416""","0","29","28.926147704590818","1.3253433253839075","29"
"1","148","500","10","96","23","21","""1509273922""","0","31","30.92814371257485","1.3967198528357017","31"
"1","149","500","10","96","23","21","""974882815""","0","28","27.940119760479043","1.2539566123390227","28"
"1","150","500","10","96","23","21","""-511873641""","0","34","33.92215568862275","1.5349033010950706","34"
"1","151","500","50","19","-23","6","""-1407224923""","0","45","44.89620758483034","2.0340121899394314","45"
"1","152","500","50","19","-23","6","""-1769840398""","0","43","42.884231536926144","2.0076281673366108","43"
"1","153","500","50","19","-23","6","""1973430892""","0","43","42.87225548902195","2.0326457395706283","43"
"1","154","500","50","19","-23","6","""1782693493""","0","60","59.83433133732535","2.793295366049942","60"
"1","155","500","50","19","-23","6","""1935997683""","0","46","45.87225548902195","2.153984378447213","46"
"1","156","500","50","19","-23","6","""-516523092""","0","42","41.89021956087824","1.9323364488868469","42"
"1","157","500","50","19","-23","6","""-2077743349""","0","56","55.83632734530938","2.625482371799685","56"
"1","158","500","50","19","-23","6","""-26353962""","0","53","52.85429141716567","2.457788954915836","53"
"1","159","500","50","19","-23","6","""-2040364472""","0","49","48.862275449101794","2.2722222628906965","49"
"1","160","500","50","19","-23","6","""2006500379""","0","63","62.796407185628745","3.0302585806938294","63"
"1","161","500","0","23","9","-5","""-244598245""","0","0","0","0","0"
"1","162","500","0","23","9","-5","""1661790477""","0","0","0","0","0"
"1","163","500","0","23","9","-5","""-1980957218""","0","0","0","0","0"
"1","164","500","0","23","9","-5","""1092641203""","0","0","0","0","0"
"1","165","500","0","23","9","-5","""806150388""","0","0","0","0","0"
"1","166","500","0","23","9","-5","""-184684786""","0","0","0","0","0"
"1","167","500","0","23","9","-5","""-62851971""","0","0","0","0","0"
"1","168","500","0","23","9","-5","""-684592902""","0","0","0","0","0"
"1","169","500","0","23","9","-5","""-1756543724""","0","0","0","0","0"
"1","170","500","0","23","9","-5","""-1547912623""","0","0","0","0","0"
