"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","90","97","-16","3","41341.157884231536","10","41341.157884231536"
"1","20","70","41","4","-22","73.15968063872256","10","41341.157884231536"
"1","30","98","88","-10","-17","42583.795409181635","10","42583.795409181635"
"1","40","55","55","-1","-13","137.6814371257485","10","42583.795409181635"
"1","50","15","67","-22","-13","25.138922155688622","10","42583.795409181635"
"1","60","83","16","-12","-1","49.45149700598803","10","42583.795409181635"
"1","70","44","5","-2","20","30.232335329341318","10","42583.795409181635"
"1","80","69","40","-13","-16","88.52934131736528","10","42583.795409181635"
"1","90","27","45","24","-24","19.445508982035925","10","42583.795409181635"
"1","100","79","34","14","12","266.29880239520963","10","42583.795409181635"
"1","110","67","64","1","-9","466.13932135728544","10","42583.795409181635"
"1","120","26","55","-6","-21","29.722554890219563","10","42583.795409181635"
"1","130","2","0","8","10","0.9980039920159681","10","42583.795409181635"
"1","140","45","96","-8","-24","229.26646706586826","10","42583.795409181635"
"1","150","10","96","23","21","28.536127744510974","10","42583.795409181635"
"1","160","50","19","-23","6","49.859880239520955","10","42583.795409181635"
"1","170","0","23","9","-5","0","10","42583.795409181635"
"1","180","22","8","-7","-9","0","10","42583.795409181635"
"1","190","74","11","-11","-22","0","10","42583.795409181635"
"1","200","77","8","-20","-7","2.593413173652695","10","42583.795409181635"
"1","210","49","71","-6","-5","212.27265469061877","10","42583.795409181635"
"1","220","7","54","8","8","10.577644710578843","10","42583.795409181635"
"1","230","86","89","21","0","37712.10798403194","10","42583.795409181635"
"1","240","25","41","-7","-14","22.343313373253494","10","42583.795409181635"
"1","250","20","30","18","-1","17.258283433133734","10","42583.795409181635"
"1","260","81","39","19","20","647.3814371257484","10","42583.795409181635"
"1","270","25","94","-20","16","89.6125748502994","10","42583.795409181635"
"1","280","78","37","8","-1","210.79860279441118","10","42583.795409181635"
"1","290","67","93","15","15","22799.894610778447","10","42583.795409181635"
"1","300","61","73","24","-13","544.226746506986","10","42583.795409181635"
"1","310","8","1","17","9","2.19560878243513","10","42583.795409181635"
"1","320","0","15","-5","-6","0","10","42583.795409181635"
"1","330","18","72","-18","-5","35.80419161676646","10","42583.795409181635"
"1","340","93","11","-20","-13","0","10","42583.795409181635"
"1","350","79","39","24","-1","270.0019960079841","10","42583.795409181635"
"1","360","0","3","-25","-8","0","10","42583.795409181635"
"1","370","86","35","-15","18","489.0407185628743","10","42583.795409181635"
"1","380","11","88","19","-20","24.138323353293412","10","42583.795409181635"
"1","390","6","89","-1","15","14.170259481037926","10","42583.795409181635"
"1","400","86","66","-4","3","28945.790219560877","10","42583.795409181635"
"1","410","66","2","-19","-13","0","10","42583.795409181635"
"1","420","92","34","1","-20","73.5065868263473","10","42583.795409181635"
"1","430","40","0","11","19","19.657285429141716","10","42583.795409181635"
"1","440","94","76","-23","-18","36563.520558882235","10","42583.795409181635"
"1","450","88","3","19","6","26.132335329341316","10","42583.795409181635"
"1","460","45","74","19","-21","142.6740518962076","10","42583.795409181635"
"1","470","82","56","-5","0","1350.8999999999999","10","42583.795409181635"
"1","480","78","33","-16","-24","35.15708582834331","10","42583.795409181635"
"1","490","58","85","-18","17","1877.9187624750498","10","42583.795409181635"
"1","500","7","89","-23","-25","10.575648702594808","10","42583.795409181635"
"1","510","67","60","1","23","1090.8996007984028","10","42583.795409181635"
"1","520","67","94","15","15","22947.413173652698","10","42583.795409181635"
"1","530","28","34","1","3","36.80499001996007","10","42583.795409181635"
"1","540","90","97","-16","12","41310.82854291417","10","42583.795409181635"
"1","550","25","41","-8","3","39.299201596806384","10","42583.795409181635"
"1","560","86","67","-7","-14","16111.356886227546","10","42583.795409181635"
"1","570","83","16","20","-21","0","10","42583.795409181635"
"1","580","45","74","-11","-1","189.80259481037928","10","42583.795409181635"
"1","590","25","62","-15","18","66.20598802395209","10","42583.795409181635"
"1","600","86","99","-20","16","39030.31556886228","10","42583.795409181635"
"1","610","86","81","21","18","38698.77025948105","10","42583.795409181635"
"1","620","50","85","-18","-1","413.5021956087825","10","42583.795409181635"
"1","630","86","39","17","15","642.1856287425151","10","42583.795409181635"
"1","640","67","89","0","18","22260.573253493018","10","42583.795409181635"
"1","650","90","64","1","-9","25250.33812375249","10","42583.795409181635"
"1","660","55","73","24","-13","288.3518962075848","10","42583.795409181635"
"1","670","18","39","24","-1","18.554091816367265","10","42583.795409181635"
"1","680","79","77","-18","-1","27963.369860279443","10","42583.795409181635"
"1","690","70","64","-20","16","2106.690419161677","10","42583.795409181635"
"1","700","25","94","4","-22","68.99221556886228","10","42583.795409181635"
