"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","90","97","-16","3","""1471086393""","0","56345","41305.375249501","18474.545761206384","56345"
"1","2","160","90","97","-16","3","""455472075""","0","56454","41412.19161676647","18491.538982983893","56454"
"1","3","160","90","97","-16","3","""1243909015""","0","56385","41362.017964071856","18483.585201190795","56385"
"1","4","160","90","97","-16","3","""-775925457""","0","56557","41466.41916167665","18527.4736437527","56557"
"1","5","160","90","97","-16","3","""1123111129""","0","56456","41343.33532934132","18558.498575675003","56456"
"1","6","160","90","97","-16","3","""222529221""","0","56574","41445.04590818363","18544.290072253796","56574"
"1","7","160","90","97","-16","3","""-1774681815""","0","56515","41427.29141716567","18535.676870805168","56515"
"1","8","160","90","97","-16","3","""-1457202960""","0","56359","41241.211576846305","18522.12910837057","56359"
"1","9","160","90","97","-16","3","""-1167055277""","0","56512","41383.03393213573","18551.553468452392","56512"
"1","10","160","90","97","-16","3","""257775319""","0","56230","41213.87225548902","18429.87544883717","56230"
"1","11","160","70","41","4","-22","""2070085714""","0","69","68.68063872255489","3.802341961373016","69"
"1","12","160","70","41","4","-22","""-1050379504""","0","44","43.840319361277444","2.1777169462086894","44"
"1","13","160","70","41","4","-22","""-1836049230""","0","112","111.37924151696606","6.6096814010625184","112"
"1","14","160","70","41","4","-22","""-1937949532""","0","87","86.68662674650699","4.395406784178655","87"
"1","15","160","70","41","4","-22","""-995906682""","0","61","60.768463073852296","3.160108136303794","61"
"1","16","160","70","41","4","-22","""536552097""","0","81","80.59281437125749","4.49776258416032","81"
"1","17","160","70","41","4","-22","""375875744""","0","60","59.79441117764471","2.97785975200228","60"
"1","18","160","70","41","4","-22","""-89215083""","0","80","79.69261477045909","4.137792327957131","80"
"1","19","160","70","41","4","-22","""-1641474747""","0","47","46.796407185628745","2.5008932535932296","47"
"1","20","160","70","41","4","-22","""-158210026""","0","84","83.68862275449102","4.4098583083134","84"
"1","21","160","98","88","-10","-17","""949873513""","0","61492","42622.423153692616","20534.94121434451","61492"
"1","22","160","98","88","-10","-17","""-907902692""","0","61498","42604.41716566866","20560.608858874493","61498"
"1","23","160","98","88","-10","-17","""1144503225""","0","61444","42715.75848303393","20527.192195026393","61444"
"1","24","160","98","88","-10","-17","""1078501254""","0","61470","42466.85628742515","20568.795773289934","61470"
"1","25","160","98","88","-10","-17","""-1338412190""","0","61502","42544.17165668662","20584.698126095398","61502"
"1","26","160","98","88","-10","-17","""-1629006181""","0","61488","42475.532934131734","20532.663872411023","61488"
"1","27","160","98","88","-10","-17","""20175201""","0","61539","42648.40518962076","20537.78055188753","61539"
"1","28","160","98","88","-10","-17","""-477856752""","0","61485","42643.45908183633","20546.882765344784","61485"
"1","29","160","98","88","-10","-17","""-1428322291""","0","61468","42541.55489021956","20558.394777887705","61468"
"1","30","160","98","88","-10","-17","""-646471413""","0","61467","42568.976047904194","20501.762521681434","61467"
"1","31","160","55","55","-1","-13","""1385929502""","0","143","142.28942115768464","8.02110141216733","143"
"1","32","160","55","55","-1","-13","""1532960421""","0","127","126.44111776447106","6.950613350496726","127"
"1","33","160","55","55","-1","-13","""-1236486953""","0","115","114.59281437125749","5.75272702841655","115"
"1","34","160","55","55","-1","-13","""-607738526""","0","142","141.29740518962075","8.03824441364485","142"
"1","35","160","55","55","-1","-13","""980905919""","0","125","124.38323353293413","6.81152246736015","125"
"1","36","160","55","55","-1","-13","""-80557839""","0","114","113.50898203592814","6.0048662900746566","114"
"1","37","160","55","55","-1","-13","""-541594899""","0","134","133.34930139720558","7.375075898658821","134"
"1","38","160","55","55","-1","-13","""1728828454""","0","137","136.3992015968064","7.4592438867004995","137"
"1","39","160","55","55","-1","-13","""-1984900711""","0","163","162.10978043912175","9.45525907374832","163"
"1","40","160","55","55","-1","-13","""-925878871""","0","129","128.22754491017963","7.4312932764410835","129"
"1","41","160","15","67","-22","-13","""-1797620248""","0","23","22.9500998003992","1.0312637829478657","23"
"1","42","160","15","67","-22","-13","""1402794191""","0","18","17.956087824351297","0.8161298084688917","18"
"1","43","160","15","67","-22","-13","""-530061860""","0","29","28.922155688622755","1.3356377292187225","29"
"1","44","160","15","67","-22","-13","""-740102036""","0","14","13.964071856287426","0.6408639378419931","14"
"1","45","160","15","67","-22","-13","""-181083493""","0","27","26.940119760479043","1.2134278658530788","27"
"1","46","160","15","67","-22","-13","""-193472958""","0","18","17.962075848303392","0.805331535602279","18"
"1","47","160","15","67","-22","-13","""-1655014955""","0","15","14.964071856287426","0.683159269004195","15"
"1","48","160","15","67","-22","-13","""-895642558""","0","24","23.934131736526947","1.1088970622247816","24"
"1","49","160","15","67","-22","-13","""-547504239""","0","18","17.956087824351297","0.8234487623838351","18"
"1","50","160","15","67","-22","-13","""829105400""","0","21","20.95808383233533","0.938210808378404","21"
"1","51","160","83","16","-12","-1","""833029246""","0","53","52.840319361277444","2.5247675334185717","53"
"1","52","160","83","16","-12","-1","""1838570675""","0","53","52.83632734530938","2.575491736471096","53"
"1","53","160","83","16","-12","-1","""446127187""","0","46","45.88622754491018","2.0950011790258554","46"
"1","54","160","83","16","-12","-1","""810468700""","0","52","51.81037924151697","2.6034538705128085","52"
"1","55","160","83","16","-12","-1","""-80803392""","0","54","53.84231536926148","2.5653627089250506","54"
"1","56","160","83","16","-12","-1","""-1310212173""","0","56","55.77045908183633","2.921849686212845","56"
"1","57","160","83","16","-12","-1","""1561052707""","0","58","57.84231536926148","2.6797548075044615","58"
"1","58","160","83","16","-12","-1","""-816762574""","0","64","63.78842315369261","3.1640394606550784","64"
"1","59","160","83","16","-12","-1","""-1347387167""","0","55","54.85429141716567","2.559047976671457","55"
"1","60","160","83","16","-12","-1","""1098289120""","0","44","43.83832335329341","2.178028554274119","44"
"1","61","160","44","5","-2","20","""-1512934086""","0","26","25.942115768463072","1.1690349501066422","26"
"1","62","160","44","5","-2","20","""1889010341""","0","25","24.940119760479043","1.131550787913984","25"
"1","63","160","44","5","-2","20","""-262106943""","0","31","30.924151696606785","1.4107570765167543","31"
"1","64","160","44","5","-2","20","""1351368086""","0","38","37.90419161676647","1.7443630342361784","38"
"1","65","160","44","5","-2","20","""1974804201""","0","41","40.90419161676647","1.8576335470726317","41"
"1","66","160","44","5","-2","20","""-1279988183""","0","36","35.91217564870259","1.638374638806973","36"
"1","67","160","44","5","-2","20","""-1651343091""","0","38","37.91417165668663","1.7119050097698147","38"
"1","68","160","44","5","-2","20","""-1129149478""","0","49","48.884231536926144","2.217785124461646","49"
"1","69","160","44","5","-2","20","""-236472087""","0","30","29.93013972055888","1.3524458512040747","30"
"1","70","160","44","5","-2","20","""-1957055492""","0","22","21.954091816367267","0.9838131039749889","22"
"1","71","160","69","40","-13","-16","""899415085""","0","103","102.58083832335329","5.406288199477356","103"
"1","72","160","69","40","-13","-16","""1409972785""","0","117","116.55489021956087","6.0437969057476595","117"
"1","73","160","69","40","-13","-16","""-779263386""","0","66","65.74051896207585","3.3281428650434908","66"
"1","74","160","69","40","-13","-16","""1001520546""","0","70","69.77045908183632","3.470620346396606","70"
"1","75","160","69","40","-13","-16","""501801786""","0","100","99.27345309381238","5.804401248388677","100"
"1","76","160","69","40","-13","-16","""1158798670""","0","81","80.72055888223552","4.023152555773374","81"
"1","77","160","69","40","-13","-16","""-1145832358""","0","89","88.65469061876247","4.6594552207410675","89"
"1","78","160","69","40","-13","-16","""1086757081""","0","80","79.63872255489022","4.307576762504582","80"
"1","79","160","69","40","-13","-16","""906126781""","0","107","106.54291417165669","5.666802863221803","107"
"1","80","160","69","40","-13","-16","""1561659995""","0","70","69.73453093812375","3.5624970497588793","70"
"1","81","160","27","45","24","-24","""902678868""","0","11","10.974051896207586","0.4993248935326596","11"
"1","82","160","27","45","24","-24","""-2086737101""","0","9","8.980039920159681","0.4044759552843597","9"
"1","83","160","27","45","24","-24","""-904196190""","0","16","15.960079840319361","0.7282878507930647","16"
"1","84","160","27","45","24","-24","""-162262788""","0","12","11.974051896207586","0.5378897185310272","12"
"1","85","160","27","45","24","-24","""1835109607""","0","15","14.966067864271457","0.6759040667026766","15"
"1","86","160","27","45","24","-24","""1774479627""","0","14","13.970059880239521","0.6269783061695113","14"
"1","87","160","27","45","24","-24","""-1297533770""","0","22","21.93812375249501","1.0460227878276345","22"
"1","88","160","27","45","24","-24","""-409635886""","0","22","21.93812375249501","1.034487154417442","22"
"1","89","160","27","45","24","-24","""407831847""","0","21","20.940119760479043","0.9921729615489215","21"
"1","90","160","27","45","24","-24","""1053309084""","0","21","20.944111776447105","0.9761507360449285","21"
"1","91","160","79","34","14","12","""-2128882855""","0","235","233.79241516966067","13.520089583848371","235"
"1","92","160","79","34","14","12","""-725497013""","0","259","257.0239520958084","16.751340995565155","259"
"1","93","160","79","34","14","12","""-1230701352""","0","252","250.69660678642714","14.185900340234811","252"
"1","94","160","79","34","14","12","""1409580482""","0","362","359.35928143712573","23.863584363683675","362"
"1","95","160","79","34","14","12","""794032396""","0","297","293.97205588822357","19.496441151268687","297"
