"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","90","97","-16","3","41359.979441117765","10","41359.979441117765"
"1","20","70","41","4","-22","72.19201596806387","10","41359.979441117765"
"1","30","98","88","-10","-17","42583.155489021956","10","42583.155489021956"
"1","40","55","55","-1","-13","132.25988023952095","10","42583.155489021956"
"1","50","15","67","-22","-13","20.65069860279441","10","42583.155489021956"
"1","60","83","16","-12","-1","53.3309381237525","10","42583.155489021956"
"1","70","44","5","-2","20","33.52095808383234","10","42583.155489021956"
"1","80","69","40","-13","-16","87.92115768463074","10","42583.155489021956"
"1","90","27","45","24","-24","16.258483033932134","10","42583.155489021956"
"1","100","79","34","14","12","278.251497005988","10","42583.155489021956"
"1","110","67","64","1","-9","493.80998003992016","10","42583.155489021956"
"1","120","26","55","-6","-21","30.614570858283436","10","42583.155489021956"
"1","130","2","0","8","10","0.3992015968063872","10","42583.155489021956"
"1","140","45","96","-8","-24","227.2872255489022","10","42583.155489021956"
"1","150","10","96","23","21","29.026546906187622","10","42583.155489021956"
"1","160","50","19","-23","6","43.67624750499002","10","42583.155489021956"
"1","170","86","35","-15","18","526.5243512974051","10","42583.155489021956"
"1","180","11","88","19","-20","20.551297405189622","10","42583.155489021956"
"1","190","6","89","-1","15","19.35748502994012","10","42583.155489021956"
"1","200","86","66","-4","3","28767.24570858283","10","42583.155489021956"
"1","210","66","2","-19","-13","0","10","42583.155489021956"
"1","220","92","34","1","-20","75.57325349301396","10","42583.155489021956"
"1","230","40","0","11","19","22.549500998003992","10","42583.155489021956"
"1","240","94","76","-23","-18","36656.89441117765","10","42583.155489021956"
"1","250","88","3","19","6","25.227944111776445","10","42583.155489021956"
"1","260","45","74","19","-21","128.5502994011976","10","42583.155489021956"
"1","270","82","56","-5","0","1230.0828343313374","10","42583.155489021956"
"1","280","78","33","-16","-24","35.455688622754494","10","42583.155489021956"
"1","290","58","85","-18","17","1525.1710578842315","10","42583.155489021956"
"1","300","7","89","-23","-25","13.869261477045907","10","42583.155489021956"
"1","310","26","22","-18","6","21.84590818363273","10","42583.155489021956"
"1","320","38","66","15","17","162.1269461077844","10","42583.155489021956"
"1","330","41","64","8","6","144.94730538922153","10","42583.155489021956"
"1","340","62","74","10","-21","391.1183632734531","10","42583.155489021956"
"1","350","11","54","9","-21","9.47944111776447","10","42583.155489021956"
"1","360","15","26","-22","-17","2.9936127744510976","10","42583.155489021956"
"1","370","84","13","14","-2","31.611976047904186","10","42583.155489021956"
"1","380","65","41","21","-9","111.00638722554888","10","42583.155489021956"
"1","390","65","17","12","-5","24.731137724550898","10","42583.155489021956"
"1","400","11","35","19","-13","7.982235528942115","10","42583.155489021956"
"1","410","90","43","-24","6","1240.2279441117767","10","42583.155489021956"
"1","420","3","95","-24","-4","8.282834331337325","10","42583.155489021956"
"1","430","54","76","-13","-15","291.1634730538922","10","42583.155489021956"
"1","440","68","87","-1","-11","10623.764670658682","10","42583.155489021956"
"1","450","78","45","-13","-9","262.26187624750503","10","42583.155489021956"
"1","460","90","99","-19","-1","41230.14151696607","10","42583.155489021956"
"1","470","56","61","-1","-22","140.33153692614772","10","42583.155489021956"
"1","480","2","38","4","-20","0.3992015968063872","10","42583.155489021956"
"1","490","50","69","-11","12","300.1463073852296","10","42583.155489021956"
"1","500","22","34","-25","1","23.742714570858283","10","42583.155489021956"
"1","510","81","4","-2","17","56.950499001996015","10","42583.155489021956"
"1","520","8","33","-18","-25","2.19560878243513","10","42583.155489021956"
"1","530","10","32","16","-21","2.5944111776447105","10","42583.155489021956"
"1","540","72","19","-24","-16","10.664271457085828","10","42583.155489021956"
"1","550","34","37","-7","-17","25.0311377245509","10","42583.155489021956"
"1","560","57","68","2","8","473.25389221556895","10","42583.155489021956"
"1","570","21","26","17","-22","2.693213572854291","10","42583.155489021956"
"1","580","0","82","18","-24","0","10","42583.155489021956"
"1","590","97","66","-22","24","43909.76506986029","10","43909.76506986029"
"1","600","65","44","23","2","205.1203592814371","10","43909.76506986029"
"1","610","56","33","-2","18","136.45489021956092","10","43909.76506986029"
"1","620","30","13","12","-20","0","10","43909.76506986029"
"1","630","91","54","-15","5","12382.164271457086","10","43909.76506986029"
"1","640","88","73","2","-21","27324.772654690616","10","43909.76506986029"
"1","650","41","76","-13","-25","107.44770459081835","10","43909.76506986029"
"1","660","45","11","25","17","39.18962075848304","10","43909.76506986029"
"1","670","91","32","-24","10","426.8055888223553","10","43909.76506986029"
"1","680","33","52","-10","15","86.20918163672653","10","43909.76506986029"
"1","690","40","24","5","13","49.06686626746507","10","43909.76506986029"
"1","700","89","42","12","17","1349.4265469061877","10","43909.76506986029"
"1","710","82","95","-21","2","36235.384630738525","10","43909.76506986029"
"1","720","25","16","18","-6","6.38562874251497","10","43909.76506986029"
"1","730","7","37","7","6","6.885828343313373","10","43909.76506986029"
"1","740","90","52","16","-3","2505.5802395209585","10","43909.76506986029"
"1","750","97","61","22","19","41660.39441117764","10","43909.76506986029"
"1","760","91","52","22","6","11815.170658682635","10","43909.76506986029"
"1","770","94","60","25","-7","20813.835528942116","10","43909.76506986029"
"1","780","23","60","-9","-14","35.30239520958084","10","43909.76506986029"
